node_id,node_name,status,fused_velocity,fused_congestion_ratio,los,congestion_level,confidence,observation_count,weight_sum
N01_LY_THUONG_KIET,Ly Thuong Kiet,ok,32.7778,0.0,E,thoang,1.0,9,1.0
N02_BA_THANG_HAI,Ba Thang Hai,ok,33.0,0.0,E,thoang,1.0,3,1.0
N03_CMT8,Cach Mang Thang Tam,ok,34.0,0.0,E,thoang,1.0,9,1.0
N04_THANH_THAI,Thanh Thai,ok,30.7778,0.0,E,thoang,1.0,9,1.0
N05_TO_HIEN_THANH,To Hien Thanh,ok,30.2222,0.0,E,thoang,1.0,9,1.0
N06_NGUYEN_TRI_PHUONG,Nguyen Tri Phuong,ok,33.7778,0.0,E,thoang,1.0,9,1.0
N07_SU_VAN_HANH,Su Van Hanh,ok,28.6667,0.0,E,trung_binh,1.0,9,1.0
N08_DIEN_BIEN_PHU,Dien Bien Phu,ok,41.0,0.0,F,thoang,1.0,9,1.0
N09_CONG_HOA,Cong Hoa,ok,37.3333,0.0,F,thoang,1.0,9,1.0
N10_TRUONG_CHINH,Truong Chinh,ok,32.6667,0.0,E,thoang,1.0,9,1.0
